QA	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
QS03CA81	hüdrokortisoon+neomütsiin	Hydrocortisone+Neomycin
QS03CA82	prednisoloon+neomütsiin	Prednisolone+Neomycin
QV	VARIA	VARIOUS
QV01	ALLERGEENID	ALLERGENS
QV01A	ALLERGEENID	ALLERGENS
QV01AA	Allergeenide ekstraktid	Allergen extracts
QV01AA20	allergeenid	Allergens
QV03	KÕIK TEISED RAVIAINED	ALL OTHER THERAPEUTIC PRODUCTS
QV03A	KÕIK TEISED RAVIAINED	ALL OTHERS TERAPEUTIC PRODUCTS
QV03AB	Antidoodid	Antidotes
QV03AB80	naatriumtiosulfaat+naatriumglutamaatmonohüdraat	Sodium thiosulphate+Sodium glutamate monohydrat
QV03AB90	atipamesool	Atipamezole
QV03AB92	diprenorfiin	Diprenorphine
QV03AN	Meditsiinigaasid	Medical gases
QV03AN01	hapnik	Oxygen
QV03AX	Teised raviained	Other therapeutic products
QV03AX80	homöopaatilised preparaadid	homeopathic preparations
QV04	DIAGNOSTILISED AINED	DIAGNOSTIC AGENTS
QV04C	TEISED DIAGNOSTILISED AINED	OTHER DIAGNOSTIC AGENTS
QV04CF	Tuberkuloosi diagnoosimise ained	Tuberculosis diagnostics
QV04CF01	tuberkuliin	Tuberculin
QV04CH	Neerufunktsiooni ning kusejuha kahjustuse hindamise ained	Tests for renal function and ureteral injuries
QV04CX	Teised diagnostilised ained	Other diagnostic agents
QV04CX80	Salmonella Pullorum antigeen	Salmonella Pullorum antigeen
QV04CX81	PUUDU_EESTI	PUUDU_INGLISE
QV06	ÜLDTOITAINED	GENERAL NUTRIENTS
QV06D	TEISED TOITAINED	OTHER NUTRIENTS
QV06DC	Süsivesikud	Carbohydrates
QV06DC01	glükoos	Glucose
QV07	KÕIK TEISED MITTETERAPEUTILISED VAHENDID	ALL OTHER NON-THERAPEUTIC PRODUCTS
QV07A	KÕIK TEISED MITTETERAPEUTILISED VAHENDID	ALL OTHER NON-THERAPEUTIC PRODUCTS
QV07AB	Lahustid ja lahjendusvedelikud, k.a loputuslahused	Solvents and diluting, incl. irrigating solutions
QV07AB80	kaaliumdivesinikfosfaat+dinaatriumvesinikfosfaatdihüdraat	Potassium dihydrogen phosphate+Disodium phosphate dihydrate
QV07AB81	süstevesi	Water for injection
QV07AQ	Teised mitteterapeutilised veterinaarsed tooted	Other non-therapeutic veterinary products
