A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
L04AB06	golimumab	Golimumab
L04AC	Interleukiini inhibiitorid	Interleukin inhibitors
L04AC01	daklizumab	Daclizumab
L04AC02	basiliksimab	Basiliximab
L04AC03	anakinra	Anakinra
L04AC04	rilonatsept	Rilonacept
L04AC05	ustekinumab	Ustekinumab
L04AC07	totsilizumab	Tocilizumab
L04AC08	kanakinumab	Canakinumab
L04AD	Kaltsineuriini inhibiitorid	Calcineurin inhibitors
L04AD01	tsüklosporiin	Ciclosporin
L04AD02	takroliimus	Tacrolimus
L04AX	Teised immunosupressandid	Other immunosuppressants
L04AX01	asatiopriin	Azathioprine
L04AX02	talidomiid	Thalidomide
L04AX03	metotreksaat	Methotrexate
L04AX04	lenalidomiid	Lenalidomide
L04AX05	pirfenidoon	Pirfenidone
M	SKELETI-LIHASSÜSTEEM	MUSCULO-SKELETAL SYSTEM
M01	PÕLETIKU- JA REUMAVASTASED AINED	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01A	MITTESTEROIDSED PÕLETIKU- JA REUMAVASTASED AINED	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS
M01AA	Butüülpürasolidiinid	Butylpyrazolidines
M01AA01	fenüülbutasoon	Phenylbutazone
M01AA02	mofebutasoon	Mofebutazone
M01AA03	oksüfenbutasoon	Oxyphenbutazone
M01AA05	klofesoon	Clofezone
M01AA06	kebusoon	Kebuzone
M01AA80	fenüülbutasoon+aminofenasoon	Phenylbutazone+Aminophenazone
M01AB	Äädikhappe derivaadid ja sarnased ained	Acetic acid derivatives and related substances
M01AB01	indometatsiin	Indometacin
M01AB02	sulindak	Sulindac
M01AB03	tolmetiin	Tolmetin
M01AB04	zomepirak	Zomepirac
M01AB05	diklofenak	Diclofenac
M01AB06	alklofenak	Alclofenac
M01AB07	bumadisoon	Bumadizone
M01AB08	etodolak	Etodolac
M01AB09	lonasolak	Lonazolac
M01AB10	fentiasak	Fentiazac
M01AB11	atsemetatsiin	Acemetacin
M01AB13	oksametatsiin	Oxametacin
M01AB14	proglumetatsiin	Proglumetacin
M01AB15	ketorolak	Ketorolac
M01AB16	atseklofenak	Aceclofenac
M01AB55	diklofenak+lidokaiin	Diclofenac+Lidocaine
M01AB80	diklofenak+misoprostool	Diclofenac+Misoprostol
M01AB81	diklofenak+püridoksiin+tiamiin+tsüanokobalamiin	Diclofenac+Pyridoxine+Thiamine+Cyanocobalamin
M01AB82	diklofenak+omeprasool	Diclofenac+Omeprazole
M01AC	Oksikaamid	Oxicams
M01AC01	piroksikaam	Piroxicam
M01AC02	tenoksikaam	Tenoxicam
M01AC04	droksikaam	Droxicam
M01AC05	lornoksikaam	Lornoxicam
M01AC06	meloksikaam	Meloxicam
M01AE	Propioonhappe derivaadid	Propionic acid derivatives
M01AE01	ibuprofeen	Ibuprofen
M01AE02	naprokseen	Naproxen
M01AE03	ketoprofeen	Ketoprofen
M01AE04	fenoprofeen	Fenoprofen
M01AE05	fenbufeen	Fenbufen
M01AE06	benoksaprofeen	Benoxaprofen
M01AE07	suprofeen	Suprofen
M01AE08	pirprofeen	Pirprofen
M01AE09	flurbiprofeen	Flurbiprofen
M01AE10	indoprofeen	Indoprofen
M01AE11	tiaprofeenhape	Tiaprofenic acid
M01AE12	oksaprosiin	Oxaprozin
M01AE13	ibuproksaam	Ibuproxam
M01AE14	deksibuprofeen	Dexibuprofen
M01AE15	flunoksaprofeen	Flunoxaprofen
M01AE16	alminoprofeen	Alminoprofen
M01AE17	deksketoprofeen	Dexketoprofen
M01AE52	naprokseen+esomeprasool	Naproxen+Esomeprazole
M01AE81	ibuprofeen+askorbiinhape	Ibuprofen+Ascorbic acid
M01AE81	ketoprofeen+omeprasool	Ketoprofen+Omeprazole
M01AG	Fenamaadid	Fenamates
M01AG01	mefenaamhape	Mefenamic acid
M01AG02	tolfenaamhape	Tolfenamic acid
M01AG03	flufenaamhape	Flufenamic acid
M01AG04	meklofenaamhape	Meclofenamic acid
M01AH	Koksiibid	Coxibs
M01AH01	tselekoksiib	Celecoxib
M01AH02	rofekoksiib	Rofecoxib
M01AH03	valdekoksiib	Valdecoxib
M01AH04	parekoksiib	Parecoxib
M01AH05	etorikoksiib	Etoricoxib
M01AH06	lumirakoksiib	Lumiracoxib
M01AX	Teised mittesteroidsed põletiku- ja reumavastased ained	Other antiinflammatory and antirheumatic agents, non-steroids
M01AX01	nabumetoon	Nabumetone
M01AX02	nifluumhape	Niflumic acid
M01AX04	asapropasoon	Azapropazone
M01AX05	glükoosamiin	Glucosamine
M01AX07	bensüdamiin	Benzydamine
M01AX12	glükoosaminoglükaanpolüsulfaat	Glucosaminoglycan polysulfate
M01AX13	prokvasoon	Proquazone
M01AX14	orgoteiin	Orgotein
M01AX17	nimesuliid	Nimesulide
M01AX18	feprasoon	Feprazone
M01AX21	diatsereiin	Diacerein
M01AX22	morniflumaat	Morniflumate
M01AX23	tenidap	Tenidap
M01AX25	kondroitiinsulfaat	Chondroitin sulfate
M01AX83	humisool	Humisol
M01B	PÕLETIKU- JA REUMAVASTASTE AINETE KOMBINATSIOONID	ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION
M01BA	Põletiku- ja reumavastaste ainete kombinatsioonid kortikosteroididega	Antiinflammatory/antirheumatic agents in combination with corticosteroids
M01BX	Teiste põletiku- ja reumavastaste ainete kombinatsioonid teiste ainetega	Other antiinflammatory/antirheumatic agents in combination with other drugs
M01C	SPETSIIFILISED REUMAVASTASED AINED	SPECIFIC ANTIRHEUMATIC AGENTS
M01CA	Kinoliinid	Quinolines
M01CB	Kullapreparaadid	Gold preparations
M01CB01	naatriumaurotiomalaat	Sodium aurothiomalate
M01CB02	naatriumaurotiosulfaat	Sodium aurotiosulfate
M01CB03	auranofiin	Auranofin
M01CC	Penitsillamiin ja sarnased ained	Penicillamine and similar agents
M01CC01	penitsillamiin	Penicillamine
M01CC02	butsillamiin	Bucillamine
M01CX	Teised spetsiifilised reumavastased ained	Other specific antirheumatic agents
M02	PAIKSELT KASUTATAVAD PREPARAADID LIIGESE- JA LIHASEVALUDE KORRAL	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02A	PAIKSELT KASUTATAVAD PREPARAADID LIIGESE- JA LIHASEVALUDE KORRAL	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02AA	Mittesteroidsed põletikuvastased ained paikseks kasutamiseks	Antiinflammatory preparations, non-steroids for topical use
M02AA01	fenüülbutasoon	Phenylbutazone
M02AA02	mofebutasoon	Mofebutazone
M02AA03	klofesoon	Clofezone
M02AA04	oksüfenbutasoon	Oxyphenbutazone
M02AA05	bensüdamiin	Benzydamine
M02AA06	etofenamaat	Etofenamate
M02AA07	piroksikaam	Piroxicam
M02AA08	felbinak	Felbinac
M02AA09	bufeksamak	Bufexamac
M02AA10	ketoprofeen	Ketoprofen
M02AA11	bendasak	Bendazac
M02AA12	naprokseen	Naproxen
M02AA13	ibuprofeen	Ibuprofen
M02AA14	fentiasak	Fentiazac
M02AA15	diklofenak	Diclofenac
M02AA16	feprasoon	Feprazone
M02AA17	nifluumhape	Niflumic acid
M02AA18	meklofenaamhape	Meclofenamic acid
M02AA19	flurbiprofeen	Flurbiprofen
M02AA21	tolmetiin	Tolmetin
M02AA22	suksibusoon	Suxibuzone
M02AA23	indometatsiin	Indometacin
M02AA81	ibuprofeen+levomentool	Ibuprofen+Levomenthol
M02AA82	indometatsiin+trokserutiin	Indometacin+Troxerutin
M02AB	Kapsaitsiin ja sarnased ained	Capsaicin and similar agents
M02AC	Salitsüülhappe derivaate sisaldavad preparaadid	Preparations with salicylic acid derivatives
M02AC01	metüülsalitsülaat	Methyl salicylate
M02AC02	hüdroksüetüülsalitsülaat	Hydroxyethyl salicylate
M02AC80	metüülsalitsülaat+mentool+eukalüptiõli+tärpentiniõli	Methyl salicylate+Menthol+Eucalyptus oil+Turpentine oil
M02AC81	metüülsalitsülaat+tärpentiniõli+paprikaekstrakt	Methyl salicylate+Turpentine oil+Extract from Capsicum annum L
M02AC82	metüülsalitsülaat+mesilasmürk+allüülisotiotsüanaat	Methyl salicylate+apitoxin+allylisothiocyanate
M02AC83	metüülsalitsülaat+paprikaekstrakt	Methyl salicylate+Extract from Capsicum annum L
M02AX	Teised paikselt kasutatavad ained liigese- ja lihasevalu korral	Other topical products for joint and muscular pain
M02AX02	tolasoliin	Tolazoline
M02AX03	dimetüülsulfoksiid	Dimethyl sulfoxide
M02AX80	nikoboksiil+nonivamiid	Nicoboxil+Nonivamide
M02AX82	prokaiin+mentool+bensokaiin	Procaine+Menthol+Benzocaine
M02AX83	nimesuliid+mentool+kapsaitsiin+metüülsalitsülaat	Nimesulide+Menthol+Capsaicin+Methyl salicylate
M02AX84	sipelghape	Formic acid
M02AX85	kamper	Camphor
M02AX86	kamper+metüülsalitsülaat+mentool	Camphor+Methyl salicylate+Menthol
M02AX87	kamper+eukalüptiõli+mentool+nikotiinhappebensüülester+paprikaekstrakt	Camphor+Eucalyptus oil+Menthol+Nicotinic acid benzylester+Extract from Capsicum annum L
M02AX88	mentool	Menthol
M02AX89	metüülnikotinaat+etüülsalitsülaat+metüülsalitsülaat+hüdroksüetüülsalitsülaat	Methyl nicotinate+Ethyl salicylate+Methyl salicylate+Hydroxyethyl salicylate
M02AX90	kamper+salitsüülhape+tärpentiniõli+hariliku rästiku mürk	Camphor+Salicylic acid+Turpentine oil+Venenum Viperae berus
M02AX91	salitsüülhape+nonivamiid	Salicylic acid+Nonivamide
M02AX92	bensüülnikotinaat+nonivamiid+kamper+tärpentiniõli+dimetüülsulfoksiid	Benzyl nicotinate+Nonivamide+Camphor+Turpentine oil+Dimethyl sulfoxide
M02AX93	sipelghape+kamper	Formic acid+Camphor
M03	MÜORELAKSANDID	MUSCLE RELAXANTS
M03A	PERIFEERSE TOIMEGA MÜORELAKSANDID	MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS
M03AA	Kuraare alkaloidid	Curare alkaloids
M03AA01	alkurooniumkloriid	Alcuronium chloride
M03AA02	tubokurariinkloriid	Tubocurarine chloride
M03AA04	dimetüültubokurariinkloriid	Dimethyltubocurarinium chloride
M03AB	Koliini derivaadid	Choline derivatives
M03AB01	suksametooniumkloriid	Suxamethonium chloride
M03AC	Teised kvaternaarsed ammooniumiühendid	Other quaternary ammonium compounds
M03AC01	pankurooniumbromiid	Pancuronium bromide
M03AC02	gallamiintrietjodiid	Gallamine triethiodide
M03AC03	vekurooniumbromiid	Vecuronium bromide
M03AC04	atrakuurbesilaat	Atracurium besilate
M03AC05	heksaflurooniumbromiid	Hexafluronium bromide
M03AC06	pipekurooniumbromiid	Pipecuronium bromide
M03AC07	doksakuurkloriid	Doxacurium chloride
M03AC08	fasadiinbromiid	Fazadinium bromide
M03AC09	rokurooniumbromiid	Rocuronium bromide
M03AC10	mivakuurkloriid	Mivacurium chloride
M03AC11	tsisatrakuurbesilaat	Cisatracurium besilate
M03AX	Teised perifeerse toimega müorelaksandid	Other muscle relaxants, peripherally acting agents
M03AX01	botuliini toksiin	Botulinum toxin
M03B	TSENTRAALSE TOIMEGA MÜORELAKSANDID	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS
M03BA	Karbaamhappe estrid	Carbamic acid esters
M03BA01	fenprobamaat	Phenprobamate
M03BA02	karisoprodool	Carisoprodol
M03BA03	metokarbamool	Methocarbamol
M03BA04	stüramaat	Styramate
M03BA05	febarbamaat	Febarbamate
M03BB	Oksasooli, tiasiini ja triasiini derivaadid	Oxazol, thiazine, and triazine derivatives
M03BB02	kloormesanoon	Chlormezanone
M03BB03	kloorsoksasoon	Chlorzoxazone
M03BC	Antihistamiinsetele ainetele keemiliselt sarnased eetrid	Ethers, chemically close to antihistamines
M03BC01	orfenadriin	Orphenadrine
M03BC80	orfenadriin+paratsetamool	Orphenadrine+Paracetamol
M03BX	Teised tsentraalse toimega müorelaksandid	Other centrally acting agents
M03BX01	baklofeen	Baclofen
M03BX02	tisanidiin	Tizanidine
M03BX03	pridinool	Pridinol
M03BX04	tolperisoon	Tolperisone
M03BX05	tiokolhikosiid	Thiocolchicoside
M03BX06	mefenesiin	Mephenesin
M03BX07	tetrasepaam	Tetrazepam
M03BX08	tsüklobensapriin	Cyclobenzaprine
M03BX30	fenüramidool	Fenyramidol
M03C	OTSESE TOIMEGA MÜORELAKSANDID	MUSCLE RELAXANTS, DIRECTLY ACTING AGENTS
M03CA	Dantroleen ja selle derivaadid	Dantrolene and derivatives
M03CA01	dantroleen	Dantrolene
M04	PODAGRAVASTASED PREPARAADID	ANTIGOUT PREPARATIONS
M04A	PODAGRAVASTASED PREPARAADID	ANTIGOUT PREPARATIONS
M04AA	Kusihappe moodustumist inhibeerivad preparaadid	Preparations inhibiting uric acid production
M04AA00	PUUDU_EESTI	PUUDU_INGLISE
M04AA01	allopurinool	Allopurinol
M04AA02	tisopuriin	Tisopurine
M04AA03	febuksostaat	Febuxostat
M04AA80	allopurinool+bensbromaroon	Allopurinol+Benzbromarone
M04AB	Kusihappe eritumist suurendavad preparaadid	Preparations increasing uric acid excretion
M04AB01	probenetsiid	Probenecid
M04AB02	sulfiinpürasoon	Sulfinpyrazone
M04AB03	bensbromaroon	Benzbromarone
M04AB04	isobromindioon	Isobromindione
M04AC	Kusihappe metabolismi mittetoimivad preparaadid	Preparations with no effect on uric acid metabolism
M04AC01	kolhitsiin	Colchicine
M04AC02	tsinhofeen	Cinchophen
M04AX	Teised podagravastased preparaadid	Other antigout preparations
M04AX02	peglotikaas	pegloticase
M05	LUUHAIGUSTE RAVIKS KASUTATAVAD AINED	DRUGS FOR TREATMENT OF BONE DISEASES
M05B	LUU STRUKTUURI JA MINERALISATSIOONI MÕJUTAVAD AINED	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BA	Bisfosfonaadid	Bisphosphonates
M05BA01	etidroonhape	Etidronic acid
M05BA02	klodroonhape	Clodronic acid
M05BA03	pamidroonhape	Pamidronic acid
M05BA04	alendroonhape	Alendronic acid
M05BA05	tiludroonhape	Tiludronic acid
M05BA06	ibandroonhape	Ibandronic acid
M05BA07	risedroonhape	Risedronic acid
M05BA08	zoledroonhape	Zoledronic acid
M05BB	Bisfosfonaatide kombinatsioonid	Bisphosphonates, combinations
M05BB03	alendroonhape+kolekaltsiferool	Alendronic acid+Colecalciferol
M05BB04	risedroonhape+kaltsiumkarbonaat+kolekaltsiferool	Risedronic acid+Calcium carbonate+Colecalciferol
M05BB05	alendroonhape+kaltsium+kolekaltsiferool	Alendronic acid+Calcium+Colecalciferol
M05BB06	alendroonhape+alfakaltsidool	Alendronic acid+Alfacalcidol
M05BC	Luu morfogeneetilised proteiinid	Bone morphogenetic proteins
M05BC01	alfadibotermiin	Dibotermin alfa
M05BC02	alfaeptotermiin	Eptotermin alfa
M05BX	Teised luu struktuuri ja mineralisatsiooni mõjutavad ained	Other drugs affecting bone structure and mineralization
M05BX01	ipriflavoon	Ipriflavone
M05BX02	alumiiniumklorohüdraat	Aluminium chlorohydrate
M05BX03	strontsiumranelaat	Strontium ranelate
M05BX04	denosumab	Denosumab
M09	TEISED SKELETI-LIHASSÜSTEEMI HÄIRETE KORRAL KASUTATAVAD AINED	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
M09A	TEISED SKELETI-LIHASSÜSTEEMI HÄIRETE KORRAL KASUTATAVAD AINED	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
M09AA	Kiniin ja selle derivaadid	Quinine and derivatives
M09AA01	hüdrokiniin	Hydroquinine
M09AA80	kiniin+meprobamaat	Quinine+Meprobamate
M09AB	Ensüümid	Enzymes
M09AB01	kümopapaiin	Chymopapain
M09AB02	clostridium histolyticum'i kollagenaas	Collagenase clostridium histolyticum
M09AX	Teised skeleti-lihassüsteemi häirete korral kasutatavad ained	Other drugs for disorders of the musculo-skeletal system
M09AX01	hüaluroonhape	Hyaluronic acid
M09AX80	polüakrüülamiid	Polyacrylamide
N	NÄRVISÜSTEEM	NERVOUS SYSTEM
N01	ANESTEETIKUMID	ANESTHETICS
N01A	ÜLDANESTEETIKUMID	ANESTHETICS, GENERAL
N01AA	Eetrid	Ethers
N01AA01	narkoosieeter	Ether, anesthetic
N01AB	Halogeenitud süsivesinikud	Halogenated hydrocarbons
N01AB01	halotaan	Halothane
N01AB04	enfluraan	Enflurane
N01AB05	trikloroetüleen	Trichloroethylene
N01AB06	isofluraan	Isoflurane
N01AB07	desfluraan	Desflurane
N01AB08	sevofluraan	Sevoflurane
N01AF	Barbituraadid	Barbiturates, plain
N01AF01	metoheksitaal	Methohexital
N01AF02	heksobarbitaal	Hexobarbital
N01AF03	tiopentaal	Thiopental
N01AG	Barbituraatide kombinatsioonid teiste ainetega	Barbiturates in combination with other drugs
N01AH	Opioidanesteetikumid	Opioid anesthetics
N01AH01	fentanüül	Fentanyl
N01AH02	alfentaniil	Alfentanil
N01AH03	sufentaniil	Sufentanil
N01AH04	fenoperidiin	Phenoperidine
N01AH05	anileridiin	Anileridine
N01AH06	remifentaniil	Remifentanil
N01AX	Teised üldanesteetikumid	Other general anesthetics
N01AX01	droperidool	Droperidol
N01AX03	ketamiin	Ketamine
N01AX04	propanidiid	Propanidid
N01AX05	alfaksaloon	Alfaxalone
N01AX07	etomidaat	Etomidate
N01AX10	propofool	Propofol
N01AX11	naatriumoksübaat	Sodium oxybate
N01AX13	dilämmastikoksiid	Nitrous oxide
N01AX14	esketamiin	Esketamine
N01B	LOKAALANESTEETIKUMID	ANESTHETICS, LOCAL
N01BA	Aminobensoehappe estrid	Esters of aminobenzoic acid
N01BA02	prokaiin	Procaine
N01BA03	tetrakaiin	Tetracaine
N01BA04	kloroprokaiin	Chloroprocaine
N01BA05	bensokaiin	Benzocaine
N01BA52	prokaiin+kamper	Procaine+Camphor
N01BB	Amiidid	Amides
N01BB01	bupivakaiin	Bupivacaine
N01BB02	lidokaiin	Lidocaine
N01BB03	mepivakaiin	Mepivacaine
N01BB04	prilokaiin	Prilocaine
N01BB05	butanilikaiin	Butanilicaine
N01BB06	tsinhokaiin	Cinchocaine
N01BB07	etidokaiin	Etidocaine
N01BB08	artikaiin	Articaine
N01BB09	ropivakaiin	Ropivacaine
N01BB10	levobupivakaiin	Levobupivacaine
N01BB58	artikaiin+epinefriin (adrenaliin)	Articaine+Epinephrine
N01BB80	artikaiin+epinefriin (adrenaliin)	Articaine+Epinephrine
N01BB81	bupivakaiin+epinefriin (adrenaliin)	Bupivacaine+Epinephrine
N01BB82	lidokaiin+epinefriin (adrenaliin)	Lidocaine+Epinephrine
N01BB83	lidokaiin+prilokaiin	Lidocaine+Prilocaine
N01BB84	lidokaiin+tsetüülpüridiinkloriid	Lidocaine+Cetylpyridinium chloride
N01BB85	prilokaiin+felüpressiin	Prilocaine+Felypressin
N01BB86	lidokaiin+kloorheksidiin	Lidocaine+Chlorhexidine
N01BB87	mepivakaiin+epinefriin (adrenaliin)	Mepivacaine+Epinephrine
N01BB88	artikaiin+epinefriin (adrenaliin)	Articaine+Epinephrine
N01BB89	lidokaiin+norepinefriin (noradrenaliin)	Lidocaine+Norepinephrine
N01BB90	lidokaiin+paraformaldehüüd	Lidocaine+Paraformaldehyde
N01BB91	lidokaiin+efedriin+arseentrioksiid	Lidocaine+Ephedrine+Arsenic trioxide
N01BB92	lidokaiin+kloorheksidiin+metüülparahüdroksübensoaat+propüülparahüdroksübensoaat	Lidocaine+Chlorhexidine+Methyl parahydroxybenzoate+Propyl parahydroxybenzoate
N01BC	Bensoehappe estrid	Esters of benzoic acid
N01BC01	kokaiin	Cocaine
N01BX	Teised lokaalanesteetikumid	Other local anesthetics
N01BX02	dükloniin	Dyclonine
N01BX03	fenool	Phenol
N01BX04	kapsaitsiin	Capsaicin
N02	ANALGEETIKUMID	ANALGESICS
N02A	OPIOIDID	OPIOIDS
N02AA	Looduslikud oopiumi alkaloidid	Natural opium alkaloids
N02AA01	morfiin	Morphine
N02AA03	hüdromorfoon	Hydromorphone
N02AA04	nikomorfiin	Nicomorphine
N02AA05	oksükodoon	Oxycodone
N02AA08	dihüdrokodeiin	Dihydrocodeine
N02AA09	diamorfiin	Diamorphine
N02AA80	kodeiin+paratsetamool	Codeine+Paracetamol
N02AA81	oksükodoon+naloksoon	Oxycodone+Naloxone
N02AA82	oripaviin	Oripavine
N02AA83	oksümorfoon	Oxymorphone
N02AA84	kodeiin+ibuprofeen	Codeine+Ibuprofen
N02AB	Fenüülpiperidiini derivaadid	Phenylpiperidine derivatives
N02AB01	ketobemidoon	Ketobemidone
N02AB02	petidiin	Pethidine
N02AB03	fentanüül	Fentanyl
N02AB80	trimeperidiin	Trimeperidine
N02AC	Difenüülpropüülamiini derivaadid	Diphenylpropylamine derivatives
N02AC01	dekstromoramiid	Dextromoramide
N02AC02	metadoon	Methadone
N02AC03	piritramiid	Piritramide
N02AC04	dekstropropoksüfeen	Dextropropoxyphene
N02AC05	besitramiid	Bezitramide
N02AD	Bensomorfaani derivaadid	Benzomorphan derivatives
N02AD01	pentasotsiin	Pentazocine
N02AD02	fenasotsiin	Phenazocine
N02AE	Oripaviini derivaadid	Oripavine derivatives
N02AE01	buprenorfiin	Buprenorphine
N02AF	Morfinaani derivaadid	Morphinan derivatives
N02AF01	butorfanool	Butorphanol
N02AF02	nalbufiin	Nalbuphine
N02AG	Opioidide ja spasmolüütikumide kombinatsioonid	Opioids in combination with antispasmodics
N02AX	Teised opioidid	Other opioids
N02AX01	tilidiin	Tilidine
N02AX02	tramadool	Tramadol
N02AX03	desotsiin	Dezocine
N02AX06	tapentadool	Tapentadol
N02AX52	tramadool+paratsetamool	Tramadol+Paracetamol
N02AX80	tilidiin+naloksoon	Tilidine+Naloxone
N02B	TEISED ANALGEETIKUMID JA ANTIPÜREETIKUMID	OTHER ANALGESICS AND ANTIPYRETICS
N02BA	Salitsüülhape ja selle derivaadid	Salicylic acid and derivatives
N02BA00	PUUDU_EESTI	PUUDU_INGLISE
N02BA01	atsetüülsalitsüülhape	Acetylsalicylic acid 
N02BA02	aloksipriin	Aloxiprin
N02BA04	naatriumsalitsülaat	Sodium salicylate
N02BA05	salitsüülamiid	Salicylamide
N02BA07	etensamiid	Ethenzamide
N02BA08	morfoliinsalitsülaat	Morpholine salicylate
N02BA09	dipürotsetüül	Dipyrocetyl
N02BA10	benorilaat	Benorilate
N02BA11	diflunisaal	Diflunisal
N02BA14	guatsetisaal	Guacetisal
N02BA15	kaltsiumkarbasalaat	Carbasalate calcium
N02BA16	imidasoolsalitsülaat	Imidazole salicylate
N02BA80	atsetüülsalitsüülhape+askorbiinhape	Acetylsalicylic acid +Ascorbic acid
N02BA81	atsetüülsalitsüülhape+magneesiumhüdroksiid	Acetylsalicylic acid +Magnesium hydroxide
N02BA82	atsetüülsalitsüülhape+fenatsetiin+kofeiin	Acetylsalicylic acid +Phenacetin+Caffeine
N02BA83	atsetüülsalitsüülhape+paratsetamool+kofeiin+sidrunhape	Acetylsalicylic acid +Paracetamol+Caffeine+Citric acid
N02BA85	atsetüülsalitsüülhape+askorbiinhape+kofeiin	Acetylsalicylic acid +Ascorbic acid+Caffeine
N02BA88	atsetüülsalitsüülhape+kodeiin	Acetylsalicylic acid +Codeine
N02BA89	atsetüülsalitsüülhape+glütsiin	Acetylsalicylic acid +Glycine
N02BA90	atsetüülsalitsüülhape+magneesiumhüdroksiid+kodeiin	Acetylsalicylic acid +Magnesium hydroxide+Codeine
N02BA91	atsetüülsalitsüülhape+kloorfenamiin+fenüülpropanoolamiin	Acetylsalicylic acid +Chlorphenamine+Phenylpropanolamine
N02BA92	atsetüülsalitsüülhape+metoklopramiid	Acetylsalicylic acid +Metoclopramide
N02BB	Pürasoloonid	Pyrazolones
N02BB00	PUUDU_EESTI	PUUDU_INGLISE
N02BB01	fenasoon	Phenazone
N02BB02	naatriummetamisool	Metamizole sodium
N02BB03	aminofenasoon	Aminophenazone
N02BB04	propüfenasoon	Propyphenazone
